시군명,가축전염병명,농장소재지,축종명,감염두수,진단일자,병성감정기관명
포천시,결핵병,경기도 포천시 영북면 자일리,소-젖소,3,2013-02-28,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 야미리,소-젖소,6,2013-02-28,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 야미리,소-젖소,1,2013-03-07,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 야미리,소-한우,4,2013-03-12,경기도축산위생연구소
포천시,결핵병,경기도 포천시 창수면 추동리,소-젖소,1,2013-03-14,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 야미리,소-한우,1,2013-03-15,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 야미리,소-젖소,5,2013-03-15,경기북부 북부지소
포천시,결핵병,경기도 포천시 이동면 노곡리,소-한우,1,2013-03-15,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 야미리,소-한우,2,2013-03-15,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 소회산리,소-젖소,9,2013-03-28,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 야미리,소-한우,1,2013-03-28,경기도축산위생연구소
포천시,결핵병,경기도 포천시 영북면 야미리,소-한우,57,2013-03-29,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 야미리,소-한우,20,2013-04-05,경기북부 북부지소
포천시,결핵병,경기도 포천시 이동면 노곡리,소-육우,1,2013-04-17,경기도축산위생연구소
포천시,결핵병,경기도 포천시 영북면 야미리,사슴-기타,1,2013-04-29,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 자일리,소-젖소,34,2013-05-02,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 야미리,소-젖소,2,2013-05-10,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 야미리,소-젖소,8,2013-05-16,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 문암리,소-젖소,2,2013-05-23,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 야미리,소-한우,2,2013-05-24,경기북부 북부지소
포천시,결핵병,경기도 포천시 이동면 노곡리,소-한우,4,2013-05-24,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 야미리,소-젖소,1,2013-05-24,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 소회산리,소-젖소,12,2013-05-30,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 야미리,소-한우,3,2013-06-20,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 야미리,사슴-비분류,12,2013-06-27,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 야미리,소-한우,1,2013-07-19,경기도축산위생연구소
포천시,결핵병,경기도 포천시 영북면 야미리,소-젖소,3,2013-07-25,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 야미리,소-한우,1,2013-07-26,경기북부 북부지소
