"행정구역","2022년08월_계_총인구수","2022년08월_계_연령구간인구수","2022년08월_계_0~9세","2022년08월_계_10~19세","2022년08월_계_20~29세","2022년08월_계_30~39세","2022년08월_계_40~49세","2022년08월_계_50~59세","2022년08월_계_60~69세","2022년08월_계_70~79세","2022년08월_계_80~89세","2022년08월_계_90~99세","2022년08월_계_100세 이상","2022년08월_남_총인구수","2022년08월_남_연령구간인구수","2022년08월_남_0~9세","2022년08월_남_10~19세","2022년08월_남_20~29세","2022년08월_남_30~39세","2022년08월_남_40~49세","2022년08월_남_50~59세","2022년08월_남_60~69세","2022년08월_남_70~79세","2022년08월_남_80~89세","2022년08월_남_90~99세","2022년08월_남_100세 이상","2022년08월_여_총인구수","2022년08월_여_연령구간인구수","2022년08월_여_0~9세","2022년08월_여_10~19세","2022년08월_여_20~29세","2022년08월_여_30~39세","2022년08월_여_40~49세","2022년08월_여_50~59세","2022년08월_여_60~69세","2022년08월_여_70~79세","2022년08월_여_80~89세","2022년08월_여_90~99세","2022년08월_여_100세 이상"
"서울특별시 용산구 서빙고동(1117069000)","12,894","12,894","719","1,434","1,689","1,421","2,287","2,278","1,585","765","617","98","1","6,186","6,186","365","713","842","706","1,074","1,113","797","323","220","33","0","6,708","6,708","354","721","847","715","1,213","1,165","788","442","397","65","1"
"서울특별시 용산구 보광동(1117070000)","13,128","13,128","367","676","2,012","2,029","1,837","2,353","2,052","1,116","586","95","5","6,528","6,528","192","384","1,128","1,135","936","1,139","922","462","199","30","1","6,600","6,600","175","292","884","894","901","1,214","1,130","654","387","65","4"
"서울특별시 성동구 (1120000000)","283,603","283,603","18,528","18,797","42,820","45,983","42,704","45,597","38,096","20,245","9,590","1,190","53","138,050","138,050","9,507","9,333","21,020","22,547","21,427","22,531","18,635","9,042","3,680","312","16","145,553","145,553","9,021","9,464","21,800","23,436","21,277","23,066","19,461","11,203","5,910","878","37"
"서울특별시 성동구 왕십리제2동(1120052000)","16,296","16,296","1,147","1,095","2,323","2,814","2,447","2,644","2,147","1,116","493","68","2","7,866","7,866","586","567","1,075","1,395","1,216","1,279","1,049","480","198","20","1","8,430","8,430","561","528","1,248","1,419","1,231","1,365","1,098","636","295","48","1"
"서울특별시 성동구 왕십리도선동(1120053500)","26,603","26,603","2,129","1,650","4,252","4,420","4,030","4,367","3,191","1,613","831","119","1","12,549","12,549","1,088","848","1,896","2,037","1,993","2,062","1,570","711","319","25","0","14,054","14,054","1,041","802","2,356","2,383","2,037","2,305","1,621","902","512","94","1"
"서울특별시 성동구 마장동(1120054000)","22,321","22,321","1,092","1,536","4,270","3,184","2,820","3,556","3,169","1,736","844","110","4","11,003","11,003","554","744","2,168","1,650","1,434","1,726","1,571","796","330","29","1","11,318","11,318","538","792","2,102","1,534","1,386","1,830","1,598","940","514","81","3"
"서울특별시 성동구 사근동(1120055000)","12,157","12,157","391","791","4,859","1,618","1,109","1,295","980","717","365","31","1","6,351","6,351","205","359","2,728","914","585","634","469","300","147","10","0","5,806","5,806","186","432","2,131","704","524","661","511","417","218","21","1"
"서울특별시 성동구 행당제1동(1120056000)","13,834","13,834","938","987","2,178","2,265","2,085","2,219","1,711","926","449","70","6","6,648","6,648","481","462","1,017","1,126","1,019","1,064","855","428","171","24","1","7,186","7,186","457","525","1,161","1,139","1,066","1,155","856","498","278","46","5"
"서울특별시 성동구 행당제2동(1120057000)","23,109","23,109","1,654","1,952","2,732","3,443","3,736","3,969","2,942","1,765","812","100","4","10,800","10,800","806","875","1,312","1,612","1,789","1,955","1,375","755","300","21","0","12,309","12,309","848","1,077","1,420","1,831","1,947","2,014","1,567","1,010","512","79","4"
"서울특별시 성동구 응봉동(1120058000)","15,187","15,187","1,045","1,565","1,714","2,057","2,754","2,492","1,770","1,146","582","62","0","7,250","7,250","561","793","841","995","1,300","1,219","815","487","222","17","0","7,937","7,937","484","772","873","1,062","1,454","1,273","955","659","360","45","0"
